Page,IliadLine
urn:cite2:hmt:msApages.v1:67v,urn:cts:greekLit:tlg0012.tlg001.msA:5.277
urn:cite2:hmt:msApages.v1:67v,urn:cts:greekLit:tlg0012.tlg001.msA:5.280
urn:cite2:hmt:msApages.v1:67v,urn:cts:greekLit:tlg0012.tlg001.msA:5.284
urn:cite2:hmt:msApages.v1:68r,urn:cts:greekLit:tlg0012.tlg001.msA:5.287
urn:cite2:hmt:msApages.v1:68r,urn:cts:greekLit:tlg0012.tlg001.msA:5.290
urn:cite2:hmt:msApages.v1:75r,urn:cts:greekLit:tlg0012.tlg001.msA:5.655
urn:cite2:hmt:msApages.v1:75v,urn:cts:greekLit:tlg0012.tlg001.msA:5.684
urn:cite2:hmt:msApages.v1:76r,urn:cts:greekLit:tlg0012.tlg001.msA:5.689
urn:cite2:hmt:msApages.v1:76r,urn:cts:greekLit:tlg0012.tlg001.msA:5.699
urn:cite2:hmt:msApages.v1:76v,urn:cts:greekLit:tlg0012.tlg001.msA:5.714
urn:cite2:hmt:msApages.v1:76v,urn:cts:greekLit:tlg0012.tlg001.msA:5.719
urn:cite2:hmt:msApages.v1:77r,urn:cts:greekLit:tlg0012.tlg001.msA:5.757
urn:cite2:hmt:msApages.v1:77v,urn:cts:greekLit:tlg0012.tlg001.msA:5.765
urn:cite2:hmt:msApages.v1:77v,urn:cts:greekLit:tlg0012.tlg001.msA:5.767
urn:cite2:hmt:msApages.v1:78r,urn:cts:greekLit:tlg0012.tlg001.msA:5.787
urn:cite2:hmt:msApages.v1:78r,urn:cts:greekLit:tlg0012.tlg001.msA:5.792
urn:cite2:hmt:msApages.v1:78r,urn:cts:greekLit:tlg0012.tlg001.msA:5.800
urn:cite2:hmt:msApages.v1:78v,urn:cts:greekLit:tlg0012.tlg001.msA:5.815
urn:cite2:hmt:msApages.v1:78v,urn:cts:greekLit:tlg0012.tlg001.msA:5.826
